workload,architecture,total_energy_pJ,energy_per_compute_pJ,cycles,utilization,DRAM_or_highest_level_energy_pJ,SRAM_or_local_buffer_energy_pJ,compute_energy_pJ,interconnect_or_network_energy_pJ,highest_level_reads,highest_level_writes,local_memory_reads,local_memory_writes,total_MACs,latency_us,external_DRAM_reads,external_DRAM_writes
alexnet_conv1_activation_intensive,planar,7343230000,69.66004,732050,0.8571,6775052288,526161778,42013333.38,NA,105569787,290400,3288175,2275112,105415200,732.05,105569787,290400
alexnet_conv1_activation_intensive,integrated_3d,2256650000,21.40725,732050,0.8571,1688474635,526161778,42013333.38,NA,105569787,290400,108857962,2565512,105415200,732.05,0,0
alexnet_conv2_compute_intensive,planar,3103780000,6.92967,3110400,0.8571,1121624064,1803647754,178510036.4,NA,17338752,186624,55796688,26363664,447897600,3110.4,17338752,186624
alexnet_conv2_compute_intensive,integrated_3d,2261550000,5.04925,3110400,0.8571,279387225.1,1803647754,178510036.4,NA,17338752,186624,73135440,26550288,447897600,3110.4,0,0
alexnet_conv3,planar,732910000,4.90174,958464,0.9286,81076224,592242348.9,59591498.56,NA,1072128,194688,17665024,14043520,149520384,958.464,1072128,194688
alexnet_conv3,integrated_3d,671670000,4.49213,958464,0.9286,19831666.13,592242348.9,59591498.56,NA,1072128,194688,18737152,14238208,149520384,958.464,0,0
alexnet_conv4_dense,planar,2364950000,10.5446,1437696,0.9286,1113833472,1161728761,89387247.85,NA,17338752,64896,20599488,5565120,224280576,1437.696,17338752,64896
alexnet_conv4_dense,integrated_3d,1528640000,6.81573,1437696,0.9286,277519344.1,1161728761,89387247.85,NA,17338752,64896,37938240,5630016,224280576,1437.696,0,0
alexnet_conv5_dense,planar,1570140000,10.50118,958464,0.9286,767623168,742926243.4,59591498.56,NA,11950848,43264,6076096,4511936,149520384,958.464,11950848,43264
alexnet_conv5_dense,integrated_3d,993780000,6.64644,958464,0.9286,191260192.1,742926243.4,59591498.56,NA,11950848,43264,18026944,4555200,149520384,958.464,0,0
