metric,workload,architecture,value,raw_source_file,extraction_method
total_energy_pJ,alexnet_conv1_activation_intensive,planar,7343230000,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Parse Summary Stats Energy (uJ); multiply by 1e6
energy_per_compute_pJ,alexnet_conv1_activation_intensive,planar,69.66004,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Parse Total fJ/Compute; divide by 1000
cycles,alexnet_conv1_activation_intensive,planar,732050,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Parse Summary Stats Cycles
utilization,alexnet_conv1_activation_intensive,planar,0.8571,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Parse Summary Stats Utilization percent; divide by 100
DRAM_or_highest_level_energy_pJ,alexnet_conv1_activation_intensive,planar,6775052288,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Sum DRAM leakage and per-dataspace Energy (total)
SRAM_or_local_buffer_energy_pJ,alexnet_conv1_activation_intensive,planar,526161778,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Sum leakage and Energy (total) for shared_glb and three PE scratchpads
compute_energy_pJ,alexnet_conv1_activation_intensive,planar,42013333.38,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Parse mac Energy (total)
interconnect_or_network_energy_pJ,alexnet_conv1_activation_intensive,planar,NA,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,NA: stats Networks section contains no separately reported energy
highest_level_reads,alexnet_conv1_activation_intensive,planar,105569787,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Sum DRAM Scalar reads (per-instance) across dataspaces
highest_level_writes,alexnet_conv1_activation_intensive,planar,290400,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Sum DRAM Scalar fills plus Scalar updates across dataspaces
local_memory_reads,alexnet_conv1_activation_intensive,planar,3288175,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Sum local-buffer Scalar reads; 3D also includes stacked_sram reads
local_memory_writes,alexnet_conv1_activation_intensive,planar,2275112,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Sum local-buffer Scalar fills and updates; 3D also includes stacked_sram writes
total_MACs,alexnet_conv1_activation_intensive,planar,105415200,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Parse Computes from Summary Stats
latency_us,alexnet_conv1_activation_intensive,planar,732.05,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt; ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/input.yaml,cycles * 1 ns / 1000 ns/us using input global_cycle_seconds=1e-9
external_DRAM_reads,alexnet_conv1_activation_intensive,planar,105569787,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Planar: parsed DRAM reads; 3D: deterministic zero because input has no DRAM component
external_DRAM_writes,alexnet_conv1_activation_intensive,planar,290400,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/planar/timeloop-model.stats.txt,Planar: parsed DRAM fills+updates; 3D: deterministic zero because input has no DRAM component
total_energy_pJ,alexnet_conv1_activation_intensive,integrated_3d,2256650000,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/timeloop-model.stats.txt,Parse Summary Stats Energy (uJ); multiply by 1e6
energy_per_compute_pJ,alexnet_conv1_activation_intensive,integrated_3d,21.40725,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/timeloop-model.stats.txt,Parse Total fJ/Compute; divide by 1000
cycles,alexnet_conv1_activation_intensive,integrated_3d,732050,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/timeloop-model.stats.txt,Parse Summary Stats Cycles
utilization,alexnet_conv1_activation_intensive,integrated_3d,0.8571,ieee_revision/experiments/raw_outputs/alexnet_conv1_activation_intensive/integrated_3d/timeloop-model.stats.txt,Parse Summary Stats Utilization percent; divide by 100
