workload,architecture,total_energy_uJ,energy_per_compute_pJ,cycles,utilization,highest_level_reads,highest_level_writes,external_dram_accesses
CONV1,Planar,7343.23,69.66004,732050,0.8571,105569787,290400,105860187
CONV1,Localized,2256.65,21.40725,732050,0.8571,105569787,290400,0
CONV2,Planar,3103.78,6.92967,3110400,0.8571,17338752,186624,17525376
CONV2,Localized,2261.55,5.04925,3110400,0.8571,17338752,186624,0
CONV3,Planar,732.91,4.90174,958464,0.9286,1072128,194688,1266816
CONV3,Localized,671.67,4.49213,958464,0.9286,1072128,194688,0
CONV4_DENSE,Planar,2364.95,10.54460,1437696,0.9286,17338752,64896,17403648
CONV4_DENSE,Localized,1528.64,6.81573,1437696,0.9286,17338752,64896,0
CONV5_DENSE,Planar,1570.14,10.50118,958464,0.9286,11950848,43264,11994112
CONV5_DENSE,Localized,993.78,6.64644,958464,0.9286,11950848,43264,0
